id,correct,amount
23027,1,4000
23042,1,4000
23070,1,1800
23100,1,4000
23108,1,7200
23127,1,1000
23157,1,1600
23161,0,2000
23190,1,1000
23209,1,2000
23218,0,2000
23243,1,1200
23259,1,4000
23286,1,3000
23315,1,1000
23342,0,4000
23348,1,2400
23376,0,2000
23398,0,4000
23401,1,2000
23433,1,2000
23441,1,2000
23459,1,2000
23481,1,800
23511,0,1200
23527,0,5000
23543,1,2000
23574,1,2400
23585,0,6000
23611,1,600
23644,1,1400
23646,0,4000
23672,1,500
23696,1,2000
23703,1,600
23731,1,1000
23759,0,4000
23764,0,3000
23801,0,2000
23826,0,2800
23829,1,2000
23848,1,800
23884,0,5000
23892,1,4000
23919,1,800
23947,1,2000
23955,0,6000
23986,0,10
24005,1,3000
